"link","img_src","publisher","price","address","where","info","extra","price_change","more_info_1","more_info_2"
"","","","","","","","","","",""
"https://www.yad2.co.il/realestate/item/owffl4ch?opened-from=feed&component-type=main_feed&spot=platinum&location=1","https://img.yad2.co.il/Pic/202408/18/2_6/o/y2_1pa_010616_20240818165356.jpeg?w=3840&h=3840&c=9","נדל""ן בזמן","2,500 ₪","שמעון בר גיורא","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎1‏ • 60 מ״ר","המודעה נשמרה","","",""
"https://www.yad2.co.il/realestate/item/8h0g67gg?opened-from=feed&component-type=main_feed&spot=platinum&location=2","https://img.yad2.co.il/Pic/202411/20/2_6/o/y2_1pa_010374_20241120175929.jpeg?w=3840&h=3840&c=9","RE/PLACE","2,200 ₪","התלמוד 55","דירה, באר שבע","3 חדרים • קומה ‎3‏ • 62 מ״ר","המודעה נשמרה","בלעדי","",""
"https://www.yad2.co.il/realestate/item/vqn626ta?opened-from=feed&component-type=main_feed&spot=platinum&location=3","https://img.yad2.co.il/Pic/202409/15/2_6/o/y2_1pa_010992_20240915175037.jpeg?w=3840&h=3840&c=9","יש בתים גרופ","2,300 ₪","דוד המלך 9","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎2‏ • 52 מ״ר","המודעה נשמרה","","",""
"https://www.yad2.co.il/realestate/item/r09owps8?opened-from=feed&component-type=main_feed&spot=standard&location=4","https://img.yad2.co.il/Pic/202411/18/2_2/o/y2_1pa_010212_20241118030100.jpeg?w=3840&h=3840&c=9","","2,000 ₪","סנהדרין 156","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎3‏ • 65 מ״ר","המודעה נשמרה","","3 כיווני אוויר","נוף פתוח לפארק"
"https://www.yad2.co.il/realestate/item/s8xwhp65?opened-from=feed&component-type=main_feed&spot=standard&location=5","https://img.yad2.co.il/Pic/202410/30/2_2/o/y2_1pa_010783_20241030140048.jpeg?w=3840&h=3840&c=9","","2,800 ₪","גיורא יוספטל 30","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎3‏ • 60 מ״ר","המודעה נשמרה","","נוף פתוח לפארק","חניה"
"https://www.yad2.co.il/realestate/item/c2l1aqlj?opened-from=feed&component-type=main_feed&spot=standard&location=6","https://img.yad2.co.il/Pic/202411/15/2_2/o/y2_1_05354_20241115193345.jpeg?w=3840&h=3840&c=9","","2,700 ₪","רינגלבלום 120","דירת גן, שכונה ד', באר שבע","3 חדרים • קומה ‎קרקע‏ • 94 מ״ר","המודעה נשמרה","","נוף פתוח לעיר","בניין משופץ"
"https://www.yad2.co.il/realestate/item/lmms5vz1?opened-from=feed&component-type=main_feed&spot=standard&location=7","https://img.yad2.co.il/Pic/202409/28/2_2/o/y2_1pa_010216_20240928003203.jpeg?w=3840&h=3840&c=9","","2,700 ₪","אליהו הנביא 2","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎3‏ • 71 מ״ר","המודעה נשמרה","ירד ב-100 ₪","ממ""ד","חבל לפספס"
"https://www.yad2.co.il/realestate/item/2lr6l14t?opened-from=feed&component-type=main_feed&spot=standard&location=8","https://img.yad2.co.il/Pic/202409/05/2_2/o/y2_1_03346_20240905204614.jpeg?w=3840&h=3840&c=9","","2,800 ₪","גלעד 30","יחידת דיור, שכונה ד', באר שבע","3 חדרים • קומה ‎1‏ • 80 מ״ר","המודעה נשמרה","","3 כיווני אוויר","נכס חדש"
"https://www.yad2.co.il/realestate/item/hwa49zon?opened-from=feed&component-type=main_feed&spot=standard&location=9","https://img.yad2.co.il/Pic/202409/25/2_2/o/y2_1pa_010026_20240925184204.jpeg?w=3840&h=3840&c=9","","2,650 ₪","הקנאים 10","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎2‏ • 48 מ״ר","המודעה נשמרה","","בניין משופץ","קרוב לפארק"
"https://www.yad2.co.il/realestate/item/z1vws0m4?opened-from=feed&component-type=main_feed&spot=standard&location=10","https://img.yad2.co.il/Pic/202411/17/2_2/o/y2_1pa_010200_20241117194617.jpeg?w=3840&h=3840&c=9","","לא צוין מחיר","רמב""ן 80","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎1‏ • 78 מ״ר","המודעה נשמרה","","חניה","חבל לפספס"
"https://www.yad2.co.il/realestate/item/6gaqlt6d?opened-from=feed&component-type=main_feed&spot=standard&location=11","https://img.yad2.co.il/Pic/202409/20/2_2/o/y2_1pa_010801_20240920153922.jpeg?w=3840&h=3840&c=9","","2,400 ₪","יואל השופט 1","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎1‏ • 68 מ״ר","המודעה נשמרה","","3 כיווני אוויר","בניין משופץ"
"https://www.yad2.co.il/realestate/item/59schvo5?opened-from=feed&component-type=main_feed&spot=standard&location=12","https://img.yad2.co.il/Pic/202409/21/2_2/o/y2_1pa_010487_20240921205031.jpeg?w=3840&h=3840&c=9","","2,450 ₪","הקנאים 16","דירת גן, שכונה ד', באר שבע","3 חדרים • קומה ‎1‏ • 100 מ״ר","המודעה נשמרה","ירד ב-150 ₪","ייחודי","חבל לפספס"
"https://www.yad2.co.il/realestate/item/esgezfj1?opened-from=feed&component-type=main_feed&spot=standard&location=13","https://img.yad2.co.il/Pic/202411/19/2_2/o/y2_1pa_010375_20241119084143.jpeg?w=3840&h=3840&c=9","","2,700 ₪","יצחק רגר 171","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎קרקע‏ • 60 מ״ר","המודעה נשמרה","","ממ""ד","נוף פתוח לעיר"
"https://www.yad2.co.il/realestate/item/qhpx22b4?opened-from=feed&component-type=main_feed&spot=standard&location=14","https://img.yad2.co.il/Pic/202409/03/2_2/o/y2_1_07699_20240903210030.jpeg?w=3840&h=3840&c=9","","2,350 ₪","גיורא יוספטל 17","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎3‏ • 68 מ״ר","המודעה נשמרה","","נוף פתוח לעיר","בהזדמנות"
"https://www.yad2.co.il/realestate/item/oaj5x2ib?opened-from=feed&component-type=main_feed&spot=standard&location=15","https://assets.yad2.co.il/y2_frontend/global/images/small_image_placeholder.svg","","1,800 ₪","בעלי התוספות 18","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎2‏ • 85 מ״ר","המודעה נשמרה","","3 כיווני אוויר","בהזדמנות"
"https://www.yad2.co.il/realestate/item/g1wtcp35?opened-from=feed&component-type=main_feed&spot=standard&location=16","https://img.yad2.co.il/Pic/202410/21/2_2/o/y2_1pa_010129_20241021195819.jpeg?w=3840&h=3840&c=9","","2,000 ₪","אלעזר בן יאיר 6","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎3‏ • 50 מ״ר","המודעה נשמרה","","3 כיווני אוויר","נוף פתוח לעיר"
"","","","3,400 ₪","","","","המודעה נשמרה","","",""
"https://www.yad2.co.il/realestate/item/eajmfzr6?opened-from=feed&component-type=main_feed&spot=standard&location=17","https://img.yad2.co.il/Pic/202411/04/2_2/o/y2_1_04600_20241104103448.jpeg?w=3840&h=3840&c=9","","2,150 ₪","רבי טרפון 4","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎1‏ • 75 מ״ר","המודעה נשמרה","ירד ב-250 ₪","חניה","נכס עורפי"
"https://www.yad2.co.il/realestate/item/smzecnh4?opened-from=feed&component-type=main_feed&spot=standard&location=18","https://img.yad2.co.il/Pic/202411/21/2_2/o/y2_1_07949_20241121101418.jpeg?w=3840&h=3840&c=9","","1,900 ₪","סנהדרין 51","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎2‏ • 54 מ״ר","המודעה נשמרה","","",""
"https://www.yad2.co.il/realestate/item/nryqdugc?opened-from=feed&component-type=main_feed&spot=standard&location=19","https://img.yad2.co.il/Pic/202410/27/2_2/o/y2_1_02948_20241027212008.jpeg?w=3840&h=3840&c=9","","1,700 ₪","התלמוד 42","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎4‏ • 80 מ״ר","המודעה נשמרה","","",""
"https://www.yad2.co.il/realestate/item/yrt980tw?opened-from=feed&component-type=main_feed&spot=standard&location=20","https://img.yad2.co.il/Pic/202409/01/2_2/o/y2_1pa_010386_20240901145713.jpeg?w=3840&h=3840&c=9","","2,200 ₪","רש""י 15","דירה, שכונה ד', באר שבע","3 חדרים • קומה ‎1‏ • 70 מ״ר","המודעה נשמרה","ירד ב-300 ₪","",""
